i:258, rate:3200, w: 6, P99: 1097.5173828745894
i:259, rate:1200, w: 0, P99: 268.92433454662375
i:260, rate:2000, w: 0, P99: 712.6863907454554
i:261, rate:1400, w: 0, P99: 328.95155303736954
i:262, rate:2600, w: 6, P99: 1038.7530141057455
i:263, rate:1600, w: 0, P99: 423.5786600286331
i:264, rate:4200, w: 6, P99: 1174.631054847706
i:265, rate:2600, w: 0, P99: 1296.1256634465717
i:266, rate:4800, w: 6, P99: 1198.8860133174621
i:267, rate:1200, w: 0, P99: 270.29575447840267
i:268, rate:3400, w: 6, P99: 1115.371293419009
i:269, rate:4600, w: 6, P99: 1191.6612515794636
i:270, rate:4000, w: 6, P99: 1158.361733829442
i:271, rate:400, w: 0, P99: 136.4454451416384
i:272, rate:4200, w: 6, P99: 1174.797142946933
i:273, rate:3800, w: 6, P99: 1147.8436018354741
i:274, rate:2600, w: 6, P99: 1034.6606089096974
i:275, rate:4800, w: 6, P99: 1199.9957947960158
i:276, rate:400, w: 0, P99: 133.82826866826548
i:277, rate:4000, w: 6, P99: 1159.6959470947013
i:278, rate:3400, w: 6, P99: 1114.255505289447
i:279, rate:4200, w: 6, P99: 1171.6208114038361
i:280, rate:3400, w: 6, P99: 1119.7013288448509
i:281, rate:2200, w: 0, P99: 894.6071687627862
i:282, rate:2600, w: 6, P99: 1032.0445699408926
i:283, rate:2600, w: 6, P99: 1030.0370929402927
i:284, rate:4600, w: 6, P99: 1191.1074765222966
i:285, rate:400, w: 0, P99: 137.09085975442898
i:286, rate:800, w: 0, P99: 183.38227796195642
i:287, rate:1800, w: 0, P99: 553.542479112823
i:288, rate:4400, w: 6, P99: 1183.991455111835
i:289, rate:3200, w: 6, P99: 1096.5485057742626
i:290, rate:1400, w: 0, P99: 319.5862369138873
i:291, rate:3200, w: 6, P99: 1094.90441952807
i:292, rate:2800, w: 6, P99: 1051.7531105465594
i:293, rate:1400, w: 0, P99: 331.7297499777016
i:294, rate:800, w: 6, P99: 778.7760424682358
i:295, rate:600, w: 6, P99: 705.2211558079742
i:296, rate:2200, w: 0, P99: 889.8250056738643
i:297, rate:1400, w: 0, P99: 324.42313974834485
i:298, rate:3200, w: 6, P99: 1095.0119164742096
i:299, rate:3200, w: 6, P99: 1095.7153947365052
i:300, rate:3000, w: 6, P99: 1078.091141302282
i:301, rate:2200, w: 0, P99: 918.1186898802129
i:302, rate:3800, w: 6, P99: 1143.4691767083796
i:303, rate:3600, w: 6, P99: 1135.1348532635814
i:304, rate:3200, w: 6, P99: 1092.1477769136816
i:305, rate:800, w: 6, P99: 776.1280626043259
i:306, rate:3000, w: 6, P99: 1082.2437002886427
i:307, rate:1800, w: 0, P99: 530.8115872024032
i:308, rate:3800, w: 6, P99: 1152.6028338532751
i:309, rate:2600, w: 0, P99: 1281.2592695601302
i:310, rate:3000, w: 6, P99: 1079.2286313949733
i:311, rate:2200, w: 0, P99: 918.2152152448297
i:312, rate:1400, w: 0, P99: 330.28520967517636
i:313, rate:3000, w: 6, P99: 1076.7859082720024
i:314, rate:2600, w: 6, P99: 1032.9102394162464
i:315, rate:800, w: 6, P99: 774.0355961234168
i:316, rate:4600, w: 6, P99: 1192.346912085805
i:317, rate:1600, w: 0, P99: 430.688971544191
i:318, rate:1400, w: 0, P99: 329.3239406407396
i:319, rate:1800, w: 0, P99: 540.3247397945589
i:320, rate:1600, w: 0, P99: 417.01264878241807
i:321, rate:3400, w: 6, P99: 1115.6859799423607
i:322, rate:1200, w: 0, P99: 265.66558455166836
i:323, rate:2200, w: 0, P99: 855.7049267843284
i:324, rate:4400, w: 6, P99: 1186.0207770584066
i:325, rate:1600, w: 0, P99: 429.1956199170683
i:326, rate:2400, w: 0, P99: 1106.9010915784968
i:327, rate:3600, w: 6, P99: 1131.9460973579996
i:328, rate:4400, w: 6, P99: 1182.5791269159697
i:329, rate:2000, w: 0, P99: 718.2712219142675
i:330, rate:2200, w: 0, P99: 946.6998549990627
i:331, rate:600, w: 6, P99: 718.5407981772237
i:332, rate:2000, w: 5, P99: 1007.9887429869551
i:333, rate:1200, w: 0, P99: 259.4070264841037
i:334, rate:1600, w: 0, P99: 415.59453850851344
i:335, rate:2600, w: 6, P99: 1034.2457292909817
i:336, rate:2800, w: 6, P99: 1058.3944625350396
i:337, rate:3000, w: 6, P99: 1078.57968328832
i:338, rate:2600, w: 6, P99: 1028.3658402027743
i:339, rate:2000, w: 0, P99: 693.3933884177326
i:340, rate:3000, w: 6, P99: 1077.1709458285277
i:341, rate:1400, w: 0, P99: 336.5484671584832
i:342, rate:3800, w: 6, P99: 1147.7294078752966
i:343, rate:1000, w: 5, P99: 842.5623480983812
i:344, rate:1200, w: 0, P99: 266.1574252142643
i:345, rate:3600, w: 6, P99: 1129.4138411830322
i:346, rate:2000, w: 0, P99: 700.1733181283415
i:347, rate:1200, w: 0, P99: 271.6184872352189
i:348, rate:2800, w: 6, P99: 1060.6744019987248
i:349, rate:400, w: 6, P99: 604.6208142575601
i:350, rate:3800, w: 6, P99: 1145.6405496026691
i:351, rate:2000, w: 0, P99: 693.997746498823
i:352, rate:4600, w: 6, P99: 1191.0687460596143
i:353, rate:3600, w: 6, P99: 1129.8635800536015
i:354, rate:2400, w: 6, P99: 1005.0495090859058
i:355, rate:2000, w: 0, P99: 687.6408155872525
i:356, rate:3600, w: 6, P99: 1132.758083835226
i:357, rate:4400, w: 6, P99: 1184.8458306959378
i:358, rate:3600, w: 6, P99: 1133.7146158012747
i:359, rate:3000, w: 6, P99: 1075.7540020910242
i:360, rate:4200, w: 6, P99: 1173.9794620041725
i:361, rate:3600, w: 6, P99: 1134.3023005819737
i:362, rate:2800, w: 6, P99: 1052.9828195787243
i:363, rate:4400, w: 6, P99: 1181.81615880197
i:364, rate:1200, w: 0, P99: 265.78178313078485
i:365, rate:3800, w: 6, P99: 1146.17523883475
i:366, rate:2400, w: 6, P99: 1006.8269552593656
i:367, rate:3800, w: 6, P99: 1152.585625770506
i:368, rate:3800, w: 6, P99: 1150.1188225869673
i:369, rate:2600, w: 6, P99: 1036.65321995054
i:370, rate:4600, w: 6, P99: 1190.4744460425939
i:371, rate:3400, w: 6, P99: 1119.896430383518
i:372, rate:4800, w: 6, P99: 1198.1762410001827
