5.0
i:306, rate:2000, w: 1, P99: 1234.6151643116282
i:307, rate:1500, w: 1, P99: 1216.1851629284429
5.0
i:308, rate:1200, w: 0, P99: 1137.771920951181
i:309, rate:1400, w: 1, P99: 1209.8305672217978
i:310, rate:2100, w: 1, P99: 1230.4028201267022
5.0
i:311, rate:500, w: 0, P99: 208.21454976286714
3.6125000000000007
i:312, rate:1100, w: 0, P99: 893.5169525564771
2.2185265624999992
i:313, rate:800, w: 0, P99: 405.0004940546482
i:314, rate:1600, w: 1, P99: 1215.9702982730353
i:315, rate:1700, w: 1, P99: 1222.588181329004
i:316, rate:2400, w: 1, P99: 1231.897891811986
i:317, rate:2000, w: 1, P99: 1229.14447560522
i:318, rate:1700, w: 1, P99: 1223.8184399196011
5.0
i:319, rate:800, w: 0, P99: 400.68883566642836
i:320, rate:1500, w: 1, P99: 1215.3934620212362
i:321, rate:2400, w: 1, P99: 1233.8074341902047
i:322, rate:2300, w: 1, P99: 1236.8771384447332
i:323, rate:1300, w: 1, P99: 1205.3120684156888
5.0
i:324, rate:300, w: 0, P99: 160.02199505978876
i:325, rate:1800, w: 1, P99: 1231.9683888088005
5.0
i:326, rate:300, w: 0, P99: 163.1772837350939
0.25
i:327, rate:500, w: 1, P99: 1057.732178467168
i:328, rate:2100, w: 1, P99: 1235.417158046648
5.0
i:329, rate:300, w: 0, P99: 164.87096148545217
2.6100312500000005
i:330, rate:1000, w: 0, P99: 720.9215543823892
i:331, rate:2300, w: 1, P99: 1234.9471604887442
5.0
i:332, rate:600, w: 0, P99: 253.95790852969856
1.3624526251953117
i:333, rate:400, w: 0, P99: 184.74826707772044
i:334, rate:2300, w: 1, P99: 1230.4434696181684
i:335, rate:2100, w: 1, P99: 1232.2264674423552
i:336, rate:1500, w: 1, P99: 1214.9611710965376
5.0
i:337, rate:800, w: 0, P99: 421.3092479420868
5.0
i:338, rate:600, w: 0, P99: 256.4726376906296
3.0706249999999997
i:339, rate:1100, w: 0, P99: 860.388341974225
i:340, rate:1900, w: 1, P99: 1226.6348948271568
i:341, rate:1300, w: 1, P99: 1199.1101404167423
i:342, rate:2100, w: 1, P99: 1229.9785351756223
5.0
i:343, rate:1000, w: 0, P99: 692.1093831215112
i:344, rate:1800, w: 1, P99: 1230.0346054885542
5.0
i:345, rate:300, w: 0, P99: 164.03195477099612
3.6125000000000007
i:346, rate:300, w: 0, P99: 164.35589771814628
i:347, rate:2100, w: 1, P99: 1232.287968512236
i:348, rate:2100, w: 1, P99: 1228.524648954751
i:349, rate:2300, w: 1, P99: 1234.3328383137864
5.0
i:350, rate:1200, w: 0, P99: 1088.1814957473043
i:351, rate:2300, w: 1, P99: 1232.6688423254398
5.0
i:352, rate:200, w: 0, P99: 134.44367145606475
3.0706249999999997
i:353, rate:300, w: 0, P99: 163.13272280201102
i:354, rate:2100, w: 1, P99: 1238.9051417553278
5.0
i:355, rate:400, w: 0, P99: 181.9161917038337
2.2185265624999992
i:356, rate:1000, w: 0, P99: 658.3825038359587
i:357, rate:1800, w: 1, P99: 1228.8827583560503
5.0
i:358, rate:1000, w: 0, P99: 693.83721533012
1.1580847314160163
i:359, rate:400, w: 0, P99: 191.96887980471823
i:360, rate:1800, w: 1, P99: 1230.648492684695
5.0
i:361, rate:1100, w: 0, P99: 899.3814857361309
i:362, rate:1900, w: 1, P99: 1226.805896534962
5.0
i:363, rate:800, w: 0, P99: 449.56752531729813
5.0
i:364, rate:200, w: 0, P99: 136.13687647462987
4.25
i:365, rate:200, w: 0, P99: 136.090403165506
i:366, rate:1600, w: 1, P99: 1221.2583208682595
5.0
i:367, rate:700, w: 0, P99: 317.6439843673756
1.602885441406249
i:368, rate:700, w: 0, P99: 333.7313480060408
i:369, rate:1800, w: 1, P99: 1229.4593886673345
i:370, rate:2200, w: 1, P99: 1231.6331469282238
i:371, rate:2200, w: 1, P99: 1232.8830871070047
i:372, rate:2300, w: 1, P99: 1233.072255010029
5.0
i:373, rate:1000, w: 0, P99: 707.7186605059278
3.6125000000000007
i:374, rate:1200, w: 0, P99: 1072.226676453625
0.9843720217036136
i:375, rate:500, w: 0, P99: 210.46062065047167
