i:384, rate:1000, w: 0, P99: 667.9632301698919
i:385, rate:1300, w: 6, P99: 1038.1901175648384
i:386, rate:400, w: 0, P99: 185.47261804383228
i:387, rate:1200, w: 6, P99: 1017.2043347064958
i:388, rate:1000, w: 0, P99: 712.462607916768
i:389, rate:1600, w: 6, P99: 1097.7200569454828
i:390, rate:1200, w: 6, P99: 1003.2820248688848
i:391, rate:1600, w: 6, P99: 1092.6591014886978
i:392, rate:900, w: 0, P99: 513.7072333819724
i:393, rate:500, w: 0, P99: 217.75660598258796
i:394, rate:1300, w: 6, P99: 1035.7797625156334
i:395, rate:1000, w: 0, P99: 668.7290785080877
i:396, rate:2300, w: 6, P99: 1193.6472513815747
i:397, rate:1100, w: 0, P99: 878.0918195969516
i:398, rate:400, w: 0, P99: 184.83204005680471
i:399, rate:1700, w: 6, P99: 1118.4520940121706
i:400, rate:700, w: 0, P99: 337.9614448996194
i:401, rate:1200, w: 6, P99: 1008.1701773579485
i:402, rate:2400, w: 6, P99: 1201.1804379112482
i:403, rate:1100, w: 0, P99: 899.1985455301888
i:404, rate:1900, w: 6, P99: 1143.637266160671
i:405, rate:2000, w: 6, P99: 1166.9323105984918
i:406, rate:1500, w: 6, P99: 1069.0637946395289
i:407, rate:700, w: 0, P99: 362.1982821411156
i:408, rate:900, w: 5, P99: 981.3638995861511
i:409, rate:800, w: 0, P99: 430.07704761388425
i:410, rate:200, w: 0, P99: 140.30415817852148
i:411, rate:200, w: 0, P99: 139.08737933299597
i:412, rate:500, w: 0, P99: 211.6290745941564
i:413, rate:400, w: 0, P99: 191.34832282650484
i:414, rate:200, w: 0, P99: 134.35292763823657
i:415, rate:1900, w: 6, P99: 1146.5857494567288
i:416, rate:300, w: 0, P99: 161.3421000602275
i:417, rate:300, w: 0, P99: 161.17924488806833
i:418, rate:1200, w: 6, P99: 1008.1439458370833
i:419, rate:1000, w: 0, P99: 727.3263073608892
i:420, rate:1100, w: 0, P99: 889.4307778686899
i:421, rate:1600, w: 6, P99: 1097.2555269577927
i:422, rate:2400, w: 6, P99: 1197.9969197614662
i:423, rate:2300, w: 6, P99: 1193.859751079023
i:424, rate:1300, w: 6, P99: 1032.892943509586
i:425, rate:2300, w: 6, P99: 1190.2270502240033
i:426, rate:2100, w: 6, P99: 1174.6413310889209
i:427, rate:700, w: 0, P99: 339.06870482768176
i:428, rate:600, w: 0, P99: 261.93037394534156
i:429, rate:2400, w: 6, P99: 1203.6695762851386
i:430, rate:600, w: 0, P99: 259.4115238194569
i:431, rate:1600, w: 6, P99: 1102.0272463469787
i:432, rate:200, w: 0, P99: 135.54104461623987
i:433, rate:500, w: 0, P99: 219.67265750448527
i:434, rate:2200, w: 6, P99: 1185.1561423275336
i:435, rate:800, w: 0, P99: 393.9266609067924
i:436, rate:700, w: 0, P99: 349.30012118831553
i:437, rate:1300, w: 6, P99: 1031.0331184297934
i:438, rate:1400, w: 6, P99: 1053.7023837760426
i:439, rate:200, w: 0, P99: 134.70408460649335
i:440, rate:400, w: 0, P99: 185.2619355774982
i:441, rate:1600, w: 6, P99: 1101.2093569564981
i:442, rate:2400, w: 6, P99: 1198.9063921569432
i:443, rate:1700, w: 6, P99: 1119.2758148510165
i:444, rate:1600, w: 6, P99: 1099.4305115836269
i:445, rate:1800, w: 6, P99: 1131.857852845669
i:446, rate:500, w: 0, P99: 235.30552232668896
i:447, rate:1500, w: 6, P99: 1077.323058626395
i:448, rate:700, w: 0, P99: 315.56058784262046
i:449, rate:1600, w: 6, P99: 1096.718760693378
i:450, rate:1300, w: 6, P99: 1026.8771453109998
i:451, rate:1100, w: 0, P99: 864.9393903525295
i:452, rate:1000, w: 0, P99: 680.6749983238253
i:453, rate:900, w: 0, P99: 550.6726797210757
i:454, rate:800, w: 0, P99: 390.56402468048066
i:455, rate:2200, w: 6, P99: 1183.5080206738114
i:456, rate:200, w: 0, P99: 134.47717403332592
i:457, rate:300, w: 0, P99: 161.51633557414803
i:458, rate:1800, w: 6, P99: 1125.2395287666393
i:459, rate:1400, w: 6, P99: 1057.0858683581043
i:460, rate:200, w: 0, P99: 135.99091513747857
i:461, rate:1400, w: 6, P99: 1064.5713197850648
i:462, rate:1000, w: 0, P99: 693.2283308036839
i:463, rate:2000, w: 6, P99: 1158.400493100573
i:464, rate:1600, w: 6, P99: 1096.3973559308583
i:465, rate:600, w: 0, P99: 254.1971450068408
i:466, rate:600, w: 0, P99: 262.8519278109183
i:467, rate:1000, w: 0, P99: 690.9876757624594
i:468, rate:300, w: 0, P99: 160.87161363897653
i:469, rate:800, w: 0, P99: 419.3001081302042
i:470, rate:600, w: 0, P99: 249.21053025995718
i:471, rate:2000, w: 6, P99: 1156.7387782905557
i:472, rate:1400, w: 6, P99: 1053.9720472750153
i:473, rate:1800, w: 6, P99: 1132.4638136329743
i:474, rate:1400, w: 6, P99: 1054.7335661451777
i:475, rate:400, w: 0, P99: 189.71923504371964
i:476, rate:200, w: 0, P99: 133.23466673936935
i:477, rate:1300, w: 6, P99: 1033.5999894941247
i:478, rate:2300, w: 6, P99: 1187.6210729340937
i:479, rate:200, w: 0, P99: 135.96863725618536
i:480, rate:200, w: 0, P99: 136.68456104954038
i:481, rate:400, w: 0, P99: 193.01613547301113
i:482, rate:1500, w: 6, P99: 1074.7391924194658
i:483, rate:300, w: 0, P99: 156.65762560263943
i:484, rate:500, w: 0, P99: 220.43640238631204
i:485, rate:2100, w: 6, P99: 1173.2923162566422
i:486, rate:2400, w: 6, P99: 1196.8477526691854
i:487, rate:1800, w: 6, P99: 1129.865472528938
i:488, rate:1800, w: 6, P99: 1131.1672174634155
i:489, rate:1600, w: 6, P99: 1099.5969504300651
i:490, rate:1600, w: 6, P99: 1097.454638600455
i:491, rate:1100, w: 0, P99: 879.3325305403555
i:492, rate:900, w: 0, P99: 546.2981915500839
i:493, rate:2000, w: 6, P99: 1158.6786960101374
i:494, rate:2000, w: 6, P99: 1160.594251397599
i:495, rate:2300, w: 6, P99: 1187.6017161940981
i:496, rate:2100, w: 6, P99: 1176.3365875630918
i:497, rate:2100, w: 6, P99: 1168.901669173325
i:498, rate:1600, w: 6, P99: 1098.9946524317822
i:499, rate:500, w: 0, P99: 216.31894013989202
i:500, rate:400, w: 0, P99: 179.07236688374283
i:501, rate:1600, w: 6, P99: 1098.7331204225247
i:502, rate:1000, w: 0, P99: 657.3861865259165
i:503, rate:200, w: 0, P99: 137.59078030192057
i:504, rate:2300, w: 6, P99: 1184.669740713423
i:505, rate:1600, w: 6, P99: 1095.9175884980643
